Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep) 
 01/01  12:25:00,10.533333333333332,77.75,64.83333333333333,305.0833333333333 
 01/01  12:30:00,10.6,77.5,65.0,298.0 
 01/01  12:35:00,10.666666666666666,77.25,64.91666666666666,293.91666666666665 
 01/01  12:40:00,10.733333333333335,77.0,64.83333333333334,289.8333333333333 
 01/01  12:45:00,10.8,76.75,64.75,285.75 
 01/01  12:50:00,10.866666666666668,76.5,64.66666666666666,281.6666666666667 
 01/01  12:55:00,10.933333333333332,76.25,64.58333333333334,277.5833333333333 
 01/01  13:00:00,11.0,76.0,64.5,273.5 
 01/01  13:05:00,11.075,75.33333333333333,64.41666666666667,269.41666666666665 
 01/01  13:10:00,11.150000000000003,74.66666666666667,64.33333333333333,265.33333333333339 
 01/01  13:15:00,11.225,74.0,64.25,261.25 
 01/01  13:20:00,11.3,73.33333333333334,64.16666666666667,257.16666666666665 
 01/01  13:25:00,11.375,72.66666666666666,64.08333333333333,253.08333333333335 
 01/01  13:30:00,11.45,72.0,64.0,249.0 
 01/01  13:35:00,11.525,71.33333333333334,63.583333333333339,243.08333333333335 
 01/01  13:40:00,11.600000000000002,70.66666666666666,63.166666666666667,237.16666666666667 
 01/01  13:45:00,11.675,70.0,62.75,231.25 
 01/01  13:50:00,11.75,69.33333333333334,62.33333333333333,225.33333333333335 
 01/01  13:55:00,11.825000000000001,68.66666666666666,61.91666666666667,219.41666666666667 
 01/01  14:00:00,11.9,68.0,61.5,213.5 
 01/01  14:05:00,11.95,67.66666666666666,61.083333333333339,207.58333333333332 
 01/01  14:10:00,12.0,67.33333333333334,60.666666666666667,201.66666666666669 
 01/01  14:15:00,12.05,67.0,60.25,195.75 
 01/01  14:20:00,12.100000000000002,66.66666666666667,59.833333333333339,189.83333333333335 
 01/01  14:25:00,12.15,66.33333333333333,59.416666666666667,183.91666666666667 
 01/01  14:30:00,12.2,66.0,59.0,178.0 
 01/01  14:35:00,12.25,65.66666666666667,58.25,169.66666666666667 
 01/01  14:40:00,12.299999999999999,65.33333333333333,57.5,161.33333333333335 
 01/01  14:45:00,12.35,65.0,56.75,153.0 
 01/01  14:50:00,12.4,64.66666666666667,56.0,144.66666666666669 
 01/01  14:55:00,12.45,64.33333333333333,55.25,136.33333333333335 
 01/01  15:00:00,12.5,64.0,54.5,128.0 
 01/01  15:05:00,12.441666666666667,64.41666666666666,53.75,119.66666666666666 
 01/01  15:10:00,12.383333333333335,64.83333333333334,53.0,111.33333333333333 
 01/01  15:15:00,12.325,65.25,52.25,103.0 
 01/01  15:20:00,12.266666666666668,65.66666666666667,51.5,94.66666666666666 
 01/01  15:25:00,12.208333333333333,66.08333333333333,50.75,86.33333333333334 
 01/01  15:30:00,12.15,66.5,50.0,78.0 
 01/01  15:35:00,12.091666666666667,66.91666666666666,48.416666666666667,71.5 
 01/01  15:40:00,12.033333333333335,67.33333333333334,46.833333333333339,65.0 
 01/01  15:45:00,11.975000000000002,67.75,45.25,58.5 
 01/01  15:50:00,11.916666666666668,68.16666666666666,43.666666666666667,52.00000000000001 
 01/01  15:55:00,11.858333333333335,68.58333333333334,42.083333333333339,45.5 
 01/01  16:00:00,11.8,69.0,40.5,39.0 
 01/01  16:05:00,11.616666666666668,69.66666666666667,38.91666666666667,32.5 
 01/01  16:10:00,11.433333333333334,70.33333333333333,37.33333333333333,25.999999999999994 
 01/01  16:15:00,11.250000000000002,71.0,35.75,19.5 
